"nodeID_from"	"nodeID_to"	"line"	"year"
86	72	"linee"	1932
72	29	"linee"	1932
72	30	"linee"	1932
29	424	"linee"	1932
30	424	"linee"	1932
424	399	"linee"	1932
399	203	"linee"	1932
203	210	"linee"	1932
301	42	"linef"	1919
42	366	"linef"	1919
366	403	"linef"	1919
403	185	"linef"	1919
185	307	"linef"	1919
307	120	"linef"	1919
120	262	"linef"	1919
262	385	"linef"	1919
385	65	"linef"	1919
65	386	"linef"	1919
386	321	"linef"	1919
321	107	"linef"	1919
107	98	"linef"	1919
98	92	"linef"	1919
92	84	"linef"	1919
84	74	"linef"	1919
74	32	"linef"	1919
32	424	"linef"	1919
424	191	"linef"	1919
191	328	"linef"	1919
328	235	"linef"	1919
235	243	"linef"	1919
243	433	"linef"	1919
433	303	"linef"	1919
303	179	"linef"	1919
179	205	"linef"	1919
205	396	"linef"	1919
396	266	"linef"	1919
266	390	"linef"	1919
390	37	"linef"	1919
37	264	"linef"	1919
264	217	"linef"	1919
217	236	"linef"	1919
236	54	"linef"	1919
54	150	"linef"	1919
150	161	"linef"	1919
161	153	"linef"	1919
153	154	"linef"	1919
154	309	"linef"	1919
309	155	"linef"	1919
155	158	"linef"	1919
158	346	"linef"	1919
346	422	"linef"	1919
422	224	"linef"	1919
262	114	"lineg"	1933
114	111	"lineg"	1933
111	429	"lineg"	1933
429	277	"lineg"	1933
277	249	"lineg"	1933
249	385	"lineg"	1933
385	112	"lineg"	1933
112	355	"lineg"	1933
355	96	"lineg"	1933
96	401	"lineg"	1933
401	89	"lineg"	1933
89	376	"lineg"	1933
376	324	"lineg"	1933
324	64	"lineg"	1933
64	282	"lineg"	1933
282	344	"lineg"	1933
344	331	"lineg"	1933
331	190	"lineg"	1933
190	256	"lineg"	1933
256	342	"lineg"	1933
342	177	"lineg"	1933
177	220	"lineg"	1933
220	223	"lineg"	1933
223	272	"lineg"	1933
272	293	"lineg"	1933
293	179	"lineg"	1933
179	205	"lineg"	1933
205	396	"lineg"	1933
396	266	"lineg"	1933
266	390	"lineg"	1933
390	37	"lineg"	1933
37	264	"lineg"	1933
264	217	"lineg"	1933
300	404	"linej"	1885
404	16	"linej"	1885
16	11	"linej"	1885
11	6	"linej"	1885
6	430	"linej"	1885
430	129	"linej"	1885
129	121	"linej"	1885
121	232	"linej"	1885
232	229	"linej"	1885
229	356	"linej"	1885
356	221	"linej"	1885
221	417	"linej"	1885
417	140	"linej"	1885
140	189	"linej"	1885
189	213	"linej"	1885
213	285	"linej"	1885
285	274	"linej"	1885
274	316	"linej"	1885
316	341	"linej"	1885
341	257	"linej"	1885
257	326	"linej"	1885
326	288	"linej"	1885
288	330	"linej"	1885
330	235	"linej"	1885
235	183	"linej"	1885
183	202	"linej"	1885
202	212	"linej"	1885
212	273	"linej"	1885
273	188	"linej"	1885
29	395	"linel"	1906
30	395	"linel"	1906
395	33	"linel"	1906
33	407	"linel"	1906
407	255	"linel"	1906
255	174	"linel"	1906
174	327	"linel"	1906
327	275	"linel"	1906
275	280	"linel"	1906
280	335	"linel"	1906
335	336	"linel"	1906
336	304	"linel"	1906
304	233	"linel"	1906
233	343	"linel"	1906
343	286	"linel"	1906
286	427	"linel"	1906
427	200	"linel"	1906
200	189	"linel"	1906
189	147	"linel"	1906
147	405	"linel"	1906
405	323	"linel"	1906
323	350	"linel"	1906
350	239	"linel"	1906
239	204	"linel"	1906
333	271	"linem"	1888
271	261	"linem"	1888
261	388	"linem"	1888
388	343	"linem"	1888
343	315	"linem"	1888
315	208	"linem"	1888
208	341	"linem"	1888
341	257	"linem"	1888
257	326	"linem"	1888
326	288	"linem"	1888
288	330	"linem"	1888
330	235	"linem"	1888
235	183	"linem"	1888
183	202	"linem"	1888
202	212	"linem"	1888
212	273	"linem"	1888
273	188	"linem"	1888
188	228	"linem"	1888
228	318	"linem"	1888
318	234	"linem"	1888
234	148	"linem"	1888
148	412	"linem"	1888
412	266	"linem"	1888
266	374	"linem"	1888
374	77	"linem"	1888
77	88	"linem"	1888
88	354	"linem"	1888
354	263	"linem"	1888
263	102	"linem"	1888
102	106	"linem"	1888
106	351	"linem"	1888
351	117	"linem"	1888
117	125	"linem"	1888
125	53	"linem"	1888
53	60	"linem"	1888
60	160	"linem"	1888
146	145	"linen"	1915
145	81	"linen"	1915
81	192	"linen"	1915
192	87	"linen"	1915
87	90	"linen"	1915
90	377	"linen"	1915
377	319	"linen"	1915
319	253	"linen"	1915
253	108	"linen"	1915
108	99	"linen"	1915
99	410	"linen"	1915
410	84	"linen"	1915
84	80	"linen"	1915
80	75	"linen"	1915
75	33	"linen"	1915
33	247	"linen"	1915
247	372	"linen"	1915
372	202	"linen"	1915
202	218	"linen"	1915
218	227	"linen"	1915
227	380	"linen"	1915
380	397	"linen"	1915
397	228	"linen"	1915
228	318	"linen"	1915
318	234	"linen"	1915
234	148	"linen"	1915
148	412	"linen"	1915
412	266	"linen"	1915
266	374	"linen"	1915
374	77	"linen"	1915
77	88	"linen"	1915
88	95	"linen"	1915
95	105	"linen"	1915
105	109	"linen"	1915
109	246	"linen"	1915
246	265	"linen"	1915
265	351	"linen"	1915
351	55	"linen"	1915
55	61	"linen"	1915
61	162	"linen"	1915
162	310	"linen"	1915
310	156	"linen"	1915
156	133	"linen"	1915
133	224	"linen"	1915
108	410	"lineq"	1878
410	84	"lineq"	1878
84	33	"lineq"	1878
33	202	"lineq"	1878
202	234	"lineq"	1878
234	148	"lineq"	1878
148	389	"lineq"	1878
389	375	"lineq"	1878
375	365	"lineq"	1878
365	216	"lineq"	1878
216	180	"lineq"	1878
180	225	"lineq"	1878
225	353	"lineq"	1878
353	149	"lineq"	1878
149	151	"lineq"	1878
151	152	"lineq"	1878
152	308	"lineq"	1878
308	157	"lineq"	1878
157	345	"lineq"	1878
345	392	"lineq"	1878
392	186	"lineq"	1878
186	360	"lineq"	1878
360	422	"lineq"	1878
422	224	"lineq"	1878
262	114	"liner"	1915
114	111	"liner"	1915
111	429	"liner"	1915
429	277	"liner"	1915
277	249	"liner"	1915
249	385	"liner"	1915
385	112	"liner"	1915
112	355	"liner"	1915
355	96	"liner"	1915
96	401	"liner"	1915
401	89	"liner"	1915
89	376	"liner"	1915
376	319	"liner"	1915
319	253	"liner"	1915
253	108	"liner"	1915
108	99	"liner"	1915
99	410	"liner"	1915
410	84	"liner"	1915
84	80	"liner"	1915
80	75	"liner"	1915
75	33	"liner"	1915
33	247	"liner"	1915
247	372	"liner"	1915
372	202	"liner"	1915
202	218	"liner"	1915
218	227	"liner"	1915
227	380	"liner"	1915
380	397	"liner"	1915
397	228	"liner"	1915
228	318	"liner"	1915
318	234	"liner"	1915
234	148	"liner"	1915
148	412	"liner"	1915
412	266	"liner"	1915
266	374	"liner"	1915
374	77	"liner"	1915
77	88	"liner"	1915
88	95	"liner"	1915
95	105	"liner"	1915
105	109	"liner"	1915
109	163	"liner"	1915
163	123	"liner"	1915
123	134	"liner"	1915
134	164	"liner"	1915
410	278	"lines"	1904
268	363	"lines1"	1878
363	267	"lines1"	1878
267	375	"lines1"	1878
187	172	"lines2"	1956
172	173	"lines2"	1956
173	166	"lines2"	1956
166	384	"lines2"	1956
262	114	"linev"	1933
114	111	"linev"	1933
111	429	"linev"	1933
429	277	"linev"	1933
277	249	"linev"	1933
249	385	"linev"	1933
385	112	"linev"	1933
112	355	"linev"	1933
355	96	"linev"	1933
96	401	"linev"	1933
401	89	"linev"	1933
89	376	"linev"	1933
376	73	"linev"	1933
73	320	"linev"	1933
320	252	"linev"	1933
252	98	"linev"	1933
98	92	"linev"	1933
92	84	"linev"	1933
84	74	"linev"	1933
74	32	"linev"	1933
32	424	"linev"	1933
424	191	"linev"	1933
191	328	"linev"	1933
146	145	"linew"	1917
145	81	"linew"	1917
81	192	"linew"	1917
192	87	"linew"	1917
87	90	"linew"	1917
90	377	"linew"	1917
377	319	"linew"	1917
319	253	"linew"	1917
253	108	"linew"	1917
108	99	"linew"	1917
99	410	"linew"	1917
410	84	"linew"	1917
84	80	"linew"	1917
80	75	"linew"	1917
75	33	"linew"	1917
33	247	"linew"	1917
247	372	"linew"	1917
372	202	"linew"	1917
202	218	"linew"	1917
218	227	"linew"	1917
227	380	"linew"	1917
380	397	"linew"	1917
299	404	"linez"	1885
404	16	"linez"	1885
16	11	"linez"	1885
11	6	"linez"	1885
6	430	"linez"	1885
430	129	"linez"	1885
129	121	"linez"	1885
121	232	"linez"	1885
232	229	"linez"	1885
229	356	"linez"	1885
356	221	"linez"	1885
221	417	"linez"	1885
417	140	"linez"	1885
140	189	"linez"	1885
189	213	"linez"	1885
213	285	"linez"	1885
285	274	"linez"	1885
274	316	"linez"	1885
316	341	"linez"	1885
341	257	"linez"	1885
257	326	"linez"	1885
326	288	"linez"	1885
288	330	"linez"	1885
330	235	"linez"	1885
235	183	"linez"	1885
183	202	"linez"	1885
202	212	"linez"	1885
212	273	"linez"	1885
273	188	"linez"	1885
